id,gene,gene_id,description
gene3397,sodA,gene:BAE77401,superoxide dismutase%2C Mn
gene3398,rhaT,gene:BAE77402,L-rhamnose:proton symporter
gene3399,rhaR,gene:BAE77403,DNA-binding transcriptional activator%2C L-rhamnose-binding
gene3400,rhaS,gene:BAE77404,DNA-binding transcriptional activator%2C L-rhamnose-binding
gene3401,rhaB,gene:BAE77405,rhamnulokinase
gene3402,rhaA,gene:BAE77406,L-rhamnose isomerase
gene3403,rhaD,gene:BAE77407,rhamnulose-1-phosphate aldolase
gene3404,yiiL,gene:BAE77408,L-rhamnose mutarotase
gene3405,frvA,gene:BAE77409,predicted enzyme IIA component of PTS
gene3406,frvB,gene:BAE77410,fused predicted PTS enzyme IIBC components
gene3407,frvX,gene:BAE77411,predicted endo-1%2C4-beta-glucanase
gene3408,frvR,gene:BAE77412,predicted regulator
gene3409,yiiG,gene:BAE77413,conserved hypothetical protein
gene3410,fdhD,gene:BAE77414,formate dehydrogenase formation protein
gene3411,fdoG,gene:BAE77415,formate dehydrogenase-O%2C large subunit
gene3412,fdoH,gene:BAE77416,formate dehydrogenase-O%2C Fe-S subunit
gene3413,fdoI,gene:BAE77417,formate dehydrogenase-O%2C cytochrome b556 subunit
gene3414,fdhE,gene:BAE77418,formate dehydrogenase formation protein
gene3415,yiiF,gene:BAE77419,conserved hypothetical protein
gene3416,yiiE,gene:BAE77420,predicted transcriptional regulator
gene3417,yiiD,gene:BAE77421,predicted acetyltransferase
gene3418,dtd,gene:BAE77422,D-Tyr-tRNA(Tyr) deacylase
gene3419,rbn,gene:BAE77423,tRNA processing exoribonuclease BN
gene3420,yihX,gene:BAE77424,predicted hydrolase
gene3421,yihW,gene:BAE77425,predicted DNA-binding transcriptional regulator
gene3422,yihV,gene:BAE77426,predicted sugar kinase
gene3423,yihU,gene:BAE77427,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
gene3424,yihT,gene:BAE77428,predicted aldolase
gene3425,yihS,gene:BAE77429,predicted glucosamine isomerase
gene3426,yihR,gene:BAE77430,predicted aldose-1-epimerase
gene3427,yihQ,gene:BAE77431,alpha-glucosidase
gene3428,yihP,gene:BAE77432,predicted transporter
gene3429,yihO,gene:BAE77433,predited transporter
gene3430,ompL,gene:BAE77434,predicted outer membrane porin L
gene3431,yihN,gene:BAE77435,predicted transporter
gene3432,yihM,gene:BAE77436,predicted sugar phosphate isomerase
gene3433,yihL,gene:BAE77437,predicted DNA-binding transcriptional regulator
gene3434,bipA,gene:BAE77438,GTP-binding protein
gene3435,glnA,gene:BAE77439,glutamine synthetase
gene3436,glnL,gene:BAE77440,sensory kinase in two-component regulatory system with GlnG
gene3437,glnG,gene:BAE77441,fused DNA-binding response regulator in two-component regulatory system with GlnL%2C nitrogen regulator I (NRI)
gene3438,hemN,gene:BAE77442,coproporphyrinogen III oxidase%2C SAM and NAD(P)H dependent%2C oxygen-independent
gene3439,yihI,gene:BAE77443,conserved hypothetical protein
gene3440,csrC,,
gene3441,yihA,gene:BAE77444,GTP-binding protein
gene3442,spf,,
gene3443,polA,gene:BAE77445,fused DNA polymerase I 5'->3' exonuclease%2C 3'->5' polymerase and 3'->5' exonuclease
gene3444,yihG,gene:BAE77446,predicted endonuclease
gene3445,yihF,gene:BAE77447,conserved hypothetical protein
gene3446,dsbA,gene:BAE77448,periplasmic protein disulfide isomerase I
gene3447,yihE,gene:BAE77449,predicted kinase
gene3448,yihD,gene:BAE77450,conserved hypothetical protein
gene3449,mobA,gene:BAE77451,molybdopterin-guanine dinucleotide synthase
gene3450,mobB,gene:BAE77452,molybdopterin-guanine dinucleotide biosynthesis protein B
gene3451,rrfA,,
gene3452,rrlA,,
gene3453,alaT,,
gene3454,ileT,,
gene3455,rrsA,,
gene3456,hemG,gene:BAE77453,protoporphyrin oxidase%2C flavoprotein
gene3457,trkH,gene:BAE77454,potassium transporter
gene3458,yigZ,gene:BAE77455,predicted elongation factor
gene3459,pepQ,gene:BAE77456,proline dipeptidase
gene3460,fadB,gene:BAE77457,fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase and 3-hydroxyacyl-CoA dehydrogenase
gene3461,fadA,gene:BAE77458,3-ketoacyl-CoA thiolase
gene3462,fre,gene:BAE77459,flavin reductase
gene3463,ubiD,gene:BAE77460,3-octaprenyl-4-hydroxybenzoate decarboxylase
gene3464,rfaH,gene:BAE77461,DNA-binding transcriptional antiterminator
gene3465,tatD,gene:BAE77462,DNase%2C magnesium-dependent
gene3466,tatC,gene:BAE77463,TatABCE protein translocation system subunit
gene3467,tatB,gene:BAE77464,TatABCE protein translocation system subunit
gene3468,tatA,gene:BAE77465,TatABCE protein translocation system subunit
gene3469,ubiB,gene:BAE77466,2-octaprenylphenol hydroxylase
gene3470,yigP,gene:BAE77467,conserved hypothetical protein
gene3471,ubiE,gene:BAE77468,bifunctional 2-octaprenyl-6-methoxy-1%2C4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase
gene3472,rmuC,gene:BAE77469,predicted recombination limiting protein
gene3473,udp,gene:BAE77470,uridine phosphorylase
gene3474,ysgA,gene:BAE77471,predicted hydrolase
gene3475,metE,gene:BAE77472,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
gene3476,metR,gene:BAE77473,DNA-binding transcriptional activator%2C homocysteine-binding
gene3477,yigM,gene:BAE77474,predicted inner membrane protein
gene3478,yigL,gene:BAE77475,predicted hydrolase
gene3479,pldB,gene:BAE77476,lysophospholipase L(2)
gene3480,rhtB,gene:BAE77477,neutral amino-acid efflux system
gene3481,rhtC,gene:BAE77478,threonine efflux system
gene3482,recQ,gene:BAE77479,ATP-dependent DNA helicase
gene3483,pldA,gene:BAE77480,outer membrane phospholipase A
gene3484,yigI,gene:BAE77481,conserved hypothetical protein
gene3485,rarD,gene:BAE77482,predicted chloramphenical resistance permease
gene3486,yigG,gene:BAE77483,predicted inner membrane protein
gene3487,yigF,gene:BAE77484,conserved inner membrane protein
gene3488,corA,gene:BAE77485,magnesium/nickel/cobalt transporter
gene3489,yigE,gene:BAE77486,hypothetical protein
gene3490,uvrD,gene:BAE77487,DNA-dependent ATPase I and helicase II
gene3491,yigB,gene:BAE77488,predicted hydrolase
gene3492,xerC,gene:BAE77489,site-specific tyrosine recombinase
gene3493,yigA,gene:BAE77490,conserved hypothetical protein
gene3494,dapF,gene:BAE77491,diaminopimelate epimerase
gene3495,yifL,gene:BAE77492,predicted lipoprotein
gene3496,yzcX,gene:BAE77493,hypothetical protein
gene3497,cyaY,gene:BAE77494,frataxin%2C iron-binding and oxidizing protein
gene3498,cyaA,gene:BAE77495,adenylate cyclase
gene3499,hemC,gene:BAE77496,hydroxymethylbilane synthase
gene3500,hemD,gene:BAE77497,uroporphyrinogen III synthase
gene3501,hemX,gene:BAE77498,uroporphyrinogen III methylase
gene3502,hemY,gene:BAE77499,predicted protoheme IX synthesis protein
gene3503,ryiA,,
gene3504,aslA,gene:BAE77500,acrylsulfatase-like enzyme
gene3505,aslB,gene:BAE77501,predicted regulator of arylsulfatase activity
gene3506,proM,,
gene3507,leuT,,
gene3508,hisR,,
gene3509,argX,,
gene3510,yifK,gene:BAE77502,predicted transporter
gene3511,rffM,gene:BAE77503,UDP-N-acetyl-D-mannosaminuronic acid transferase
gene3512,wzyE,gene:BAE77504,predicted Wzy protein involved in ECA polysaccharide chain elongation
gene3513,rffT,gene:BAE77505,TDP-Fuc4NAc:lipidII transferase
gene3514,wzxE,gene:BAE77506,O-antigen translocase
gene3515,rffA,gene:BAE77507,TDP-4-oxo-6-deoxy-D-glucose transaminase
gene3516,rffC,gene:BAE77508,TDP-fucosamine acetyltransferase
gene3517,rffH,gene:BAE77509,glucose-1-phosphate thymidylyltransferase
gene3518,rffG,gene:BAE77510,dTDP-glucose 4%2C6-dehydratase
gene3519,rffD,gene:BAE77511,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
gene3520,rffE,gene:BAE77512,UDP-N-acetyl glucosamine-2-epimerase
gene3521,wzzE,gene:BAE77513,Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein
gene3522,rfe,gene:BAE77514,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
gene3523,rho,gene:BAE77515,transcription termination factor
gene3524,rhoL,gene:BAE77516,rho operon leader peptide
gene3525,trxA,gene:BAE77517,thioredoxin 1
gene3526,rhlB,gene:BAE77518,ATP-dependent RNA helicase
gene3527,gpp,gene:BAE77519,guanosine pentaphosphatase/exopolyphosphatase
gene3528,rep,gene:BAE77520,DNA helicase and single-stranded DNA-dependent ATPase
gene3529,yifN,,
gene3530,yifO,gene:BAE77521,conserved hypothetical protein
gene3531,ppiC,gene:BAE77522,peptidyl-prolyl cis-trans isomerase C
gene3532,ilvC,gene:BAE77523,ketol-acid reductoisomerase%2C NAD(P)-binding
gene3533,ilvY,gene:BAE77524,DNA-binding transcriptional dual regulator
gene3534,ilvA,gene:BAE77525,threonine deaminase
gene3535,ilvD,gene:BAE77526,dihydroxyacid dehydratase
gene3536,ilvE,gene:BAE77527,branched-chain amino-acid aminotransferase
gene3537,ilvM,gene:BAE77528,acetolactate synthase II%2C small subunit
gene3538,ilvG,,
gene3539,ilvL,gene:BAE77529,ilv operon leader peptide
gene3540,yifB,gene:BAE77530,predicted bifunctional protein%2C enzyme and transcriptional regulator
gene3541,yifE,gene:BAE77531,conserved hypothetical protein
gene3542,hdfR,gene:BAE77532,DNA-binding transcriptional regulator
gene3543,trpT,,
gene3544,aspT,,
gene3545,rrfC,,
gene3546,rrlC,,
gene3547,gltU,,
gene3548,rrsC,,
gene3549,yieP,gene:BAE77533,predicted transcriptional regulator
gene3550,hsrA,gene:BAE77534,predicted multidrug or homocysteine efflux system
gene3551,rbsR,gene:BAE77535,DNA-binding transcriptional repressor
gene3552,rbsK,gene:BAE77536,ribokinase
gene3553,rbsB,gene:BAE77537,D-ribose transporter subunit
gene3554,rbsC,gene:BAE77538,D-ribose transporter subunit
gene3555,rbsA,gene:BAE77539,fused D-ribose transporter subunits and ATP-binding components ABC superfamily
gene3556,rbsD,gene:BAE77540,predicted cytoplasmic sugar-binding protein
gene3557,trkD,gene:BAE77541,potassium transporter
gene3558,yieN,gene:BAE77542,fused predicted transcriptional regulators
gene3559,yieM,gene:BAE77543,predicted von Willibrand factor containing protein
gene3560,asnA,gene:BAE77544,asparagine synthetase A
gene3561,asnC,gene:BAE77545,DNA-binding transcriptional dual regulator
gene3562,mioC,gene:BAE77546,FMN-binding protein MioC
gene3563,oriC,,
gene3564,gidA,gene:BAE77547,glucose-inhibited cell-division protein
gene3565,gidB,gene:BAE77548,methyltransferase%2C glucose-inhibited cell-division protein
gene3566,atpI,gene:BAE77549,ATP synthase%2C membrane-bound accesory subunit
gene3567,atpB,gene:BAE77550,F0 sector of membrane-bound ATP synthase%2C subunit a
gene3568,atpE,gene:BAE77551,F0 sector of membrane-bound ATP synthase%2C subunit c
gene3569,atpF,gene:BAE77552,F0 sector of membrane-bound ATP synthase%2C subunit b
gene3570,atpH,gene:BAE77553,F1 sector of membrane-bound ATP synthase%2C delta subunit
gene3571,atpA,gene:BAE77554,F1 sector of membrane-bound ATP synthase%2C alpha subunit
gene3572,atpG,gene:BAE77555,F1 sector of membrane-bound ATP synthase%2C gamma subunit
gene3573,atpD,gene:BAE77556,F1 sector of membrane-bound ATP synthase%2C beta subunit
gene3574,atpC,gene:BAE77557,F1 sector of membrane-bound ATP synthase%2C epsilon subunit
gene3575,glmU,gene:BAE77558,fused N-acetyl glucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyl transferase
gene3576,glmS,gene:BAE77559,L-glutamine:D-fructose-6-phosphate aminotransferase
gene3577,pstS,gene:BAE77560,phosphate transporter subunit
gene3578,pstC,gene:BAE77561,phosphate transporter subunit
gene3579,pstA,gene:BAE77562,phosphate transporter subunit
gene3580,pstB,gene:BAE77563,phosphate transporter subunit
gene3581,phoU,gene:BAE77564,DNA-binding transcriptional regulator
gene3582,bglG,gene:BAE77565,transcriptional antiterminator of the bgl operon
gene3583,bglF,gene:BAE77566,fused beta-glucoside-specific PTS enzyme IIABC components
gene3584,bglB,gene:BAE77567,cryptic phospho-beta-glucosidase B
gene3585,bglH,gene:BAE77568,carbohydrate-specific outer membrane porin%2C cryptic
gene3586,yieL,gene:BAE77569,predicted xylanase
gene3587,yieK,gene:BAE77570,predicted 6-phosphogluconolactonase
gene3588,cbrC,gene:BAE77571,conserved hypothetical protein
gene3589,yieI,gene:BAE77572,predicted inner membrane protein
gene3590,yieH,gene:BAE77573,predicted hydrolase
gene3591,yieG,gene:BAE77574,predicted inner membrane protein
gene3592,yieF,gene:BAE77575,chromate reductase%2C Class I%2C flavoprotein
gene3593,yieE,gene:BAE77576,predicted phosphopantetheinyl transferase
gene3594,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene3595,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene3596,yidZ,gene:BAE77579,predicted DNA-binding transcriptional regulator
gene3597,mdtL,gene:BAE77580,multidrug efflux system protein
gene3598,tnaB,gene:BAE77581,tryptophan transporter of low affinity
gene3599,insH,gene:BAE76049,IS5 transposase and trans-activator
gene3600,tnaA,gene:BAE77584,tryptophanase/L-cysteine desulfhydrase%2C PLP-dependent
gene3601,insH,gene:BAE76049,IS5 transposase and trans-activator
gene3602,tnaC,gene:BAE77586,tryptophanase leader peptide
gene3603,trmE,gene:BAE77587,GTPase
gene3604,yidC,gene:BAE77588,cytoplasmic insertase into membrane protein%2C Sec system
gene3605,yidD,gene:BAE77589,hypothetical protein
gene3606,rnpA,gene:BAE77590,protein C5 component of RNase P
gene3607,rpmH,gene:BAE77591,50S ribosomal subunit protein L34
gene3608,dnaA,gene:BAE77592,chromosomal replication initiator protein DnaA%2C DNA-binding transcriptional dual regulator
gene3609,dnaN,gene:BAE77593,DNA polymerase III%2C beta subunit
gene3610,recF,gene:BAE77594,gap repair protein
gene3611,gyrB,gene:BAE77595,DNA gyrase%2C subunit B
gene3612,yidB,gene:BAE77596,conserved hypothetical protein
gene3613,yidA,gene:BAE77597,predicted hydrolase
gene3614,yidX,gene:BAE77598,predicted lipoproteinC
gene3615,dgoR,gene:BAE77599,predicted DNA-binding transcriptional regulator
gene3616,dgoK,gene:BAE77600,2-oxo-3-deoxygalactonate kinase
gene3617,dgoA,gene:BAE77601,2-oxo-3-deoxygalactonate 6-phosphate aldolase
gene3618,dgoD,gene:BAE77602,galactonate dehydratase
gene3619,dgoT,gene:BAE77603,D-galactonate transporter
gene3620,cbrA,gene:BAE77604,predicted oxidoreductase%2C FAD/NAD(P)-binding domain
gene3621,yidR,gene:BAE77605,conserved hypothetical protein
gene3622,yidQ,gene:BAE77606,conserved outer membrane protein
gene3623,ibpA,gene:BAE77607,heat shock chaperone
gene3624,ibpB,gene:BAE77608,heat shock chaperone
gene3625,yidE,gene:BAE77609,predicted transporter
gene3626,yidP,gene:BAE77610,predicted DNA-binding transcriptional regulator
gene3627,glvC,gene:BAE77611,arbutin specific enzyme IIC component of PTS
gene3628,glvB,gene:BAE77612,arbutin specific enzyme IIB component of PTS
gene3629,glvG,,
gene3630,ysdC,,
gene3631,yidL,gene:BAE77613,predicted DNA-binding transcriptional regulator
gene3632,yidK,gene:BAE77614,predicted transporter
gene3633,yidJ,gene:BAE77615,predicted sulfatase/phosphatase
gene3634,yidI,gene:BAE77616,predicted inner membrane protein
gene3635,yidH,gene:BAE77617,conserved inner membrane protein
gene3636,yidG,gene:BAE77618,predicted inner membrane protein
gene3637,yidF,gene:BAE77619,predicted DNA-binding transcriptional regulator
gene3638,emrD,gene:BAE77620,multidrug efflux system protein
gene3639,ivbL,gene:BAE77621,ilvB operon leader peptide
gene3640,ilvB,gene:BAE77622,acetolactate synthase I%2C large subunit
gene3641,ilvN,gene:BAE77623,acetolactate synthase I%2C small subunit
gene3642,uhpA,gene:BAE77624,DNA-binding response regulator in two-component regulatory system wtih UhpB
gene3643,uhpB,gene:BAE77625,sensory histidine kinase in two-component regulatory sytem with UhpA
gene3644,uhpC,gene:BAE77626,membrane protein regulates uhpT expression
gene3645,uhpT,gene:BAE77627,hexose phosphate transporter
gene3646,ade,gene:BAE77628,cryptic adenine deaminase
gene3647,yicO,gene:BAE77629,predicted xanthine/uracil permase
gene3648,yicN,gene:BAE77630,conserved hypothetical protein
gene3649,yicM,gene:BAE77631,predicted transporter
gene3650,yicS,gene:BAE77632,hypothetical protein
gene3651,nlpA,gene:BAE77633,cytoplasmic membrane lipoprotein-28
gene3652,yicL,gene:BAE77634,predicted inner membrane protein
gene3653,setC,gene:BAE77635,predicted sugar efflux system
gene3654,selC,,
gene3655,yicJ,gene:BAE77636,predicted transporter
gene3656,yicI,gene:BAE77637,predicted alpha-glucosidase
gene3657,yicH,gene:BAE77638,conserved hypothetical protein
gene3658,yicE,gene:BAE77639,predicted transporter
gene3659,gltS,gene:BAE77640,glutamate transporter
gene3660,recG,gene:BAE77641,ATP-dependent DNA helicase
gene3661,trmH,gene:BAE77642,tRNA (Guanosine-2'-O-)-methyltransferase
gene3662,spoT,gene:BAE77643,bifunctional (p)ppGpp synthetase II and guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase
gene3663,rpoZ,gene:BAE77644,RNA polymerase%2C omega subunit
gene3664,gmk,gene:BAE77645,guanylate kinase
gene3665,ligB,gene:BAE77646,DNA ligase%2C NAD(+)-dependent
gene3666,yicG,gene:BAE77647,conserved inner membrane protein
gene3667,dinD,gene:BAE77648,DNA-damage-inducible protein
gene3668,yicC,gene:BAE77649,conserved hypothetical protein
gene3669,rph,,
gene3670,pyrE,gene:BAE77650,orotate phosphoribosyltransferase
gene3671,ttk,gene:BAE77651,division inhibitor
gene3672,dut,gene:BAE77652,deoxyuridinetriphosphatase
gene3673,dfp,gene:BAE77653,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase%2C FMN-binding
gene3674,yicR,gene:BAE77654,protein associated with replication fork%2C possible DNA repair protein
gene3675,rpmB,gene:BAE77655,50S ribosomal subunit protein L28
gene3676,rpmG,gene:BAE77656,50S ribosomal subunit protein L33
gene3677,mutM,gene:BAE77657,formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase
gene3678,coaD,gene:BAE77658,pantetheine-phosphate adenylyltransferase
gene3679,kdtA,gene:BAE77659,3-deoxy-D-manno-octulosonic-acid transferase
gene3680,rfaQ,gene:BAE77660,lipopolysaccharide core biosynthesis protein
gene3681,rfaG,gene:BAE77661,glucosyltransferase I
gene3682,rfaP,gene:BAE77662,kinase that phosphorylates core heptose of lipopolysaccharide
gene3683,rfaS,gene:BAE77663,lipopolysaccharide core biosynthesis protein
gene3684,rfaB,gene:BAE77664,UDP-D-galactose:(glucosyl)lipopolysaccharide-1%2C 6-D-galactosyltransferase
gene3685,rfaI,gene:BAE77665,UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1%2C3-D-galactosyltransferase
gene3686,rfaJ,gene:BAE77666,UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase
gene3687,rfaY,gene:BAE77667,lipopolysaccharide core biosynthesis protein
gene3688,rfaZ,gene:BAE77668,lipopolysaccharide core biosynthesis protein
gene3689,rfaK,gene:BAE77669,lipopolysaccharide core biosynthesis
gene3690,rfaL,gene:BAE77670,O-antigen ligase
gene3691,rfaC,gene:BAE77671,ADP-heptose:LPS heptosyl transferase I
gene3692,rfaF,gene:BAE77672,ADP-heptose:LPS heptosyltransferase II
gene3693,rfaD,gene:BAE77673,ADP-L-glycero-D-mannoheptose-6-epimerase%2C NAD(P)-binding
gene3694,htrL,gene:BAE77674,hypothetical protein
gene3695,kbl,gene:BAE77675,glycine C-acetyltransferase
gene3696,tdh,gene:BAE77676,threonine 3-dehydrogenase%2C NAD(P)-binding
gene3697,yibD,gene:BAE77677,predicted glycosyl transferase
gene3698,yibQ,gene:BAE77678,predicted polysaccharide deacetylase
gene3699,envC,gene:BAE77679,protease with a role in cell division
gene3700,gpmI,gene:BAE77680,phosphoglycero mutase III%2C cofactor-independent
gene3701,yibN,gene:BAE77681,predicted rhodanese-related sulfurtransferase
gene3702,grxC,gene:BAE77682,glutaredoxin 3
gene3703,secB,gene:BAE77683,protein export chaperone
gene3704,gpsA,gene:BAE77684,glycerol-3-phosphate dehydrogenase (NAD+)
gene3705,cysE,gene:BAE77685,serine acetyltransferase
gene3706,yibK,gene:BAE77686,predicted rRNA methylase
gene3707,lldD,gene:BAE77687,L-lactate dehydrogenase%2C FMN-linked
gene3708,lldR,gene:BAE77688,DNA-binding transcriptional repressor
gene3709,lldP,gene:BAE77689,L-lactate permease
gene3710,yibL,gene:BAE77690,conserved hypothetical protein
gene3711,yibT,gene:BAE77691,hypothetical protein
gene3712,mtlR,gene:BAE77692,DNA-binding transcriptional repressor
gene3713,mtlD,gene:BAE77693,mannitol-1-phosphate dehydrogenase%2C NAD(P)-binding
gene3714,mtlA,gene:BAE77694,fused mannitol-specific PTS enzyme IIABC components
gene3715,yibI,gene:BAE77695,predicted inner membrane protein
gene3716,yibH,gene:BAE77696,hypothetical protein
gene3717,yibG,gene:BAE77697,conserved hypothetical protein
gene3718,yibJ,gene:BAE77698,predicted Rhs-family protein
gene3719,yibA,gene:BAE77699,lyase containing HEAT-repeat
gene3720,rhsA,gene:BAE77700,rhsA element core protein RshA
gene3721,yibF,gene:BAE77701,predicted glutathione S-transferase
gene3722,selA,gene:BAE77702,selenocysteine synthase
gene3723,selB,gene:BAE77703,selenocysteinyl-tRNA-specific translation factor
gene3724,yiaY,gene:BAE77704,predicted Fe-containing alcohol dehydrogenase
gene3725,aldB,gene:BAE77705,aldehyde dehydrogenase B
gene3726,yiaW,gene:BAE77706,conserved inner membrane protein
gene3727,yiaV,gene:BAE77707,membrane fusion protein (MFP) component of efflux pump%2C signal anchor
gene3728,yiaU,gene:BAE77708,predicted DNA-binding transcriptional regulator
gene3729,yiaT,gene:BAE77709,hypothetical protein
gene3730,sgbE,gene:BAE77710,L-ribulose-5-phosphate 4-epimerase
gene3731,sgbU,gene:BAE77711,predicted L-xylulose 5-phosphate 3-epimerase
gene3732,sgbH,gene:BAE77712,3-keto-L-gulonate 6-phosphate decarboxylase
gene3733,lyxK,gene:BAE77713,L-xylulose kinase
gene3734,yiaO,gene:BAE77714,predicted transporter
gene3735,yiaN,gene:BAE77715,predicted transporter
gene3736,yiaM,gene:BAE77716,predicted transporter
gene3737,yiaL,gene:BAE77717,conserved hypothetical protein
gene3738,yiaK,gene:BAE77718,2%2C3-diketo-L-gulonate dehydrogenase%2C NADH-dependent
gene3739,yiaJ,gene:BAE77719,predicted DNA-binding transcriptional repressor
gene3740,yiaI,gene:BAE77720,predicted hydrogenase%2C 4Fe-4S ferredoxin-type component
gene3741,avtA,gene:BAE77721,valine-pyruvate aminotransferase
gene3742,malS,gene:BAE77722,alpha-amylase
gene3743,bax,gene:BAE77723,conserved hypothetical protein
gene3744,xylR,gene:BAE77724,DNA-binding transcriptional activator%2C xylose-binding
gene3745,xylH,gene:BAE77725,D-xylose transporter subunit
gene3746,xylG,gene:BAE77726,fused subunits of D-xylose transporter and ATP-binding components of ABC superfamily
gene3747,xylF,gene:BAE77727,D-xylose transporter subunit
gene3748,xylA,gene:BAE77728,D-xylose isomerase
gene3749,xylB,gene:BAE77729,xylulokinase
gene3750,yiaB,gene:BAE77730,conserved inner membrane protein
gene3751,yiaA,gene:BAE77731,conserved inner membrane protein
gene3752,yiaH,gene:BAE77732,conserved inner membrane protein
gene3753,ysaB,gene:BAE77733,hypothetical protein
gene3754,glyQ,gene:BAE77734,glycine tRNA synthetase%2C alpha subunit
gene3755,glyS,gene:BAE77735,glycine tRNA synthetase%2C beta subunit
gene3756,insK,gene:BAE77736,IS150 conserved protein InsB
gene3757,insJ,gene:BAE77737,IS150 protein InsA
gene3758,hokA,gene:BAE77738,toxic polypeptide%2C small
gene3759,cspA,gene:BAE77739,major cold shock protein
gene3760,yiaG,gene:BAE77740,predicted transcriptional regulator
gene3761,yiaF,gene:BAE77741,conserved hypothetical protein
gene3762,tiaE,gene:BAE77742,2-keto-D-gluconate reductase
gene3763,yiaD,gene:BAE77743,predicted outer membrane lipoprotien
gene3764,bisC,gene:BAE77744,biotin sulfoxide reductase
gene3765,yiaC,gene:BAE77745,predicted acyltransferase with acyl-CoA N-acyltransferase domain
gene3766,tag,gene:BAE77746,3-methyl-adenine DNA glycosylase I%2C constitutive
gene3767,yhjY,gene:BAE77747,conserved hypothetical protein
gene3768,yhjX,gene:BAE77748,predicted transporter
gene3769,eptB,gene:BAE77749,predicted metal dependent hydrolase
gene3770,proK,,
gene3771,dppA,gene:BAE77750,dipeptide transporter
gene3772,dppB,gene:BAE77751,dipeptide transporter
gene3773,dppC,gene:BAE77752,dipeptide transporter
gene3774,dppD,gene:BAE77753,dipeptide transporter
gene3775,dppF,gene:BAE77754,dipeptide transporter
gene3776,yhjV,gene:BAE77755,predicted transporter
gene3777,rdlD,gene:EBG00001131911,
gene3778,ldrD,gene:BAE77756,toxic polypeptide%2C small
gene3779,bcsG,gene:BAE77757,predicted inner membrane protein
gene3780,bcsF,gene:BAE77758,hypothetical protein
gene3781,bcsE,gene:BAE77759,conserved hypothetical protein
gene3782,yhjR,gene:BAE77760,conserved hypothetical protein
gene3783,yhjQ,,
gene3784,bcsA,gene:BAE77761,cellulose synthase%2C catalytic subunit
gene3785,bcsB,gene:BAE77762,regulator of cellulose synthase%2C cyclic di-GMP binding
gene3786,bcsZ,gene:BAE77763,endo-1%2C4-D-glucanase
gene3787,bcsC,gene:BAE77764,cellulose synthase subunit
gene3788,yhjK,gene:BAE77765,predicted diguanylate cyclase
gene3789,dctA,gene:BAE77766,C4-dicarboxylic acid%2C orotate and citrate transporter
gene3790,yhjJ,gene:BAE77767,predicted zinc-dependent peptidase
gene3791,kdgK,gene:BAE77768,ketodeoxygluconokinase
gene3792,yhjH,gene:BAE77769,EAL domain containing protein involved in flagellar function
gene3793,yhjG,gene:BAE77770,predicted outer membrane biogenesis protein
gene3794,yhjE,gene:BAE77771,predicted transporter
gene3795,yhjD,gene:BAE77772,conserved inner membrane protein
gene3796,yhjC,gene:BAE77773,predicted DNA-binding transcriptional regulator
gene3797,yhjB,gene:BAE77774,predicted DNA-binding response regulator in two-component regulatory system
gene3798,treF,gene:BAE77775,cytoplasmic trehalase
gene3799,yhjA,gene:BAE77776,predicted cytochrome C peroxidase
gene3800,gadA,gene:BAE77777,glutamate decarboxylase A%2C PLP-dependent
gene3801,gadX,gene:BAE77778,DNA-binding transcriptional dual regulator
gene3802,gadY,,
gene3803,gadW,gene:BAE77779,DNA-binding transcriptional activator
gene3804,mdtF,gene:BAE77780,multidrug transporter%2C RpoS-dependent
gene3805,mdtE,gene:BAE77781,multidrug resistance efflux transporter
gene3806,gadE,gene:BAE77782,DNA-binding transcriptional activator
gene3807,hdeD,gene:BAE77783,acid-resistance membrane protein
gene3808,hdeA,gene:BAE77784,stress response protein acid-resistance protein
gene3809,hdeB,gene:BAE77785,acid-resistance protein
gene3810,yhiD,gene:BAE77786,predicted Mg(2+) transport ATPase inner membrane protein
gene3811,yhiF,gene:BAE77787,predicted DNA-binding ranscriptional regulator
gene3812,slp,gene:BAE77788,outer membrane lipoprotein
gene3813,insH,gene:BAE76049,IS5 transposase and trans-activator
gene3814,yhiS,gene:BAE77790,hypothetical protein
gene3815,arsC,gene:BAE77791,arsenate reductase
gene3816,arsB,gene:BAE77792,arsenite/antimonite transporter
gene3817,arsR,gene:BAE77793,DNA-binding transcriptional regulator
gene3818,gor,gene:BAE77794,glutathione oxidoreductase
